#,District,State,Population,Growth,Sex-Ratio,Literacy,DISTRICT
1,Thane,Maharashtra,"11,060,148",36.01%,886,84.53,THANE
2,North Twenty Four Parganas,West Bengal,"10,009,781",12.04%,955,84.06,NORTH TWENTY FOUR PARGANAS
3,Bangalore,Karnataka,"9,621,551",47.18%,916,87.67,BANGALORE
4,Pune,Maharashtra,"9,429,408",30.37%,915,86.15,PUNE
5,Mumbai Suburban,Maharashtra,"9,356,962",8.29%,860,89.91,MUMBAI SUBURBAN
6,South Twenty Four Parganas,West Bengal,"8,161,961",18.17%,956,77.51,SOUTH TWENTY FOUR PARGANAS
7,Barddhaman,West Bengal,"7,717,563",11.92%,945,76.21,BARDDHAMAN
8,Ahmadabad,Gujarat,"7,214,225",24.03%,904,85.31,AHMADABAD
9,Murshidabad,West Bengal,"7,103,807",21.09%,958,66.59,MURSHIDABAD
10,Jaipur,Rajasthan,"6,626,178",26.19%,910,75.51,JAIPUR
11,Nashik,Maharashtra,"6,107,187",22.30%,934,82.31,NASHIK
12,Surat,Gujarat,"6,081,322",42.24%,787,85.53,SURAT
13,Allahabad,Uttar Pradesh,"5,954,391",20.63%,901,72.32,ALLAHABAD
14,Paschim Medinipur,West Bengal,"5,913,457",13.86%,966,78,PASCHIM MEDINIPUR
15,Patna,Bihar,"5,838,465",23.73%,897,70.68,PATNA
16,Hugli,West Bengal,"5,519,145",9.46%,961,81.8,HUGLI
17,Rangareddy,Andhra Pradesh,"5,296,741",48.16%,961,75.87,RANGAREDDY
18,Nadia,West Bengal,"5,167,600",12.22%,947,74.97,NADIA
19,East Godavari,Andhra Pradesh,"5,154,296",5.16%,1006,70.99,EAST GODAVARI
20,Purbi Champaran,Bihar,"5,099,371",29.43%,902,55.79,PURBI CHAMPARAN
21,Purba Medinipur,West Bengal,"5,095,875",15.36%,938,87.02,PURBA MEDINIPUR
22,Guntur,Andhra Pradesh,"4,887,813",9.47%,1003,67.4,GUNTUR
23,Haora,West Bengal,"4,850,029",13.50%,939,83.31,HAORA
24,Muzaffarpur,Bihar,"4,801,062",28.14%,900,63.43,MUZAFFARPUR
25,Belgaum,Karnataka,"4,779,661",13.41%,973,73.48,BELGAUM
26,Moradabad,Uttar Pradesh,"4,772,006",25.22%,906,56.77,MORADABAD
27,Ghaziabad,Uttar Pradesh,"4,681,645",42.27%,881,78.07,GHAZIABAD
28,Nagpur,Maharashtra,"4,653,570",14.40%,951,88.39,NAGPUR
29,Chennai,Tamil Nadu,"4,646,732",6.98%,989,90.18,CHENNAI
30,Azamgarh,Uttar Pradesh,"4,613,913",17.11%,1019,70.93,AZAMGARH
31,Lucknow,Uttar Pradesh,"4,589,838",25.82%,917,77.29,LUCKNOW
32,Kanpur Nagar,Uttar Pradesh,"4,581,268",9.92%,862,79.65,KANPUR NAGAR
33,Ahmadnagar,Maharashtra,"4,543,159",12.44%,939,79.05,AHMADNAGAR
34,Krishna,Andhra Pradesh,"4,517,398",7.87%,992,73.74,KRISHNA
35,Kolkata,West Bengal,"4,496,694",-1.67%,908,86.31,KOLKATA
36,Jaunpur,Uttar Pradesh,"4,494,204",14.89%,1024,71.55,JAUNPUR
37,Madhubani,Bihar,"4,487,379",25.51%,926,58.62,MADHUBANI
38,Sitapur,Uttar Pradesh,"4,483,992",23.88%,888,61.12,SITAPUR
39,Bareilly,Uttar Pradesh,"4,448,359",22.93%,887,58.49,BAREILLY
40,Gorakhpur,Uttar Pradesh,"4,440,895",17.81%,950,70.83,GORAKHPUR
41,Agra,Uttar Pradesh,"4,418,797",22.05%,868,71.58,AGRA
42,Gaya,Bihar,"4,391,418",26.43%,937,63.67,GAYA
43,Solapur,Maharashtra,"4,317,756",12.16%,938,77.02,SOLAPUR
44,Visakhapatnam,Andhra Pradesh,"4,290,589",11.96%,1006,66.91,VISAKHAPATNAM
45,Samastipur,Bihar,"4,261,566",25.53%,911,61.86,SAMASTIPUR
46,Jalgaon,Maharashtra,"4,229,917",14.86%,925,78.2,JALGAON
47,Chittoor,Andhra Pradesh,"4,174,064",11.43%,997,71.53,CHITTOOR
48,Vadodara,Gujarat,"4,165,626",14.38%,934,78.92,VADODARA
49,Muzaffarnagar,Uttar Pradesh,"4,143,512",16.94%,889,69.12,MUZAFFARNAGAR
